-3.919192 -3.676768 -3.59596 -3.515152 -3.434343 -3.272727 -2.30303 -2.141414 -2.060606 -1.575758 -1.494949 -1.333333 -1.171717 -1.090909 -1.010101 -0.9292929 -0.8484848 -0.7676768 -0.6868687 -0.3636364 -0.1212121 -0.04040404 0.04040404 0.1212121 0.2020202 0.2828283 0.5252525 0.8484848 0.9292929 1.010101 1.252525 1.494949 1.575758 1.737374 1.979798 2.30303 2.464646 2.545455 2.707071 2.787879 2.949495 3.191919 3.272727 3.353535 3.515152 3.676768 3.757576 3.838384 3.919192 4 
-0.9492 -0.9168 -0.8899 -0.8944 -0.8633 -0.8332 -0.6506 -0.7489 -0.797 -0.6663 -0.8311 -0.6328 -0.4513 -0.4752 -0.5781 -0.4221 -0.4578 -0.3776 -0.384 -0.198 -0.3788 -0.3374 -0.4095 -0.4393 -0.5527 -0.567 -0.6877 -0.77 -0.7614 -0.7495 -0.6096 -0.4816 -0.418 -0.3114 -0.2312 -0.1498 -0.2692 -0.111 -0.2541 -0.2364 -0.2382 -0.358 -0.3169 -0.4962 -0.4146 -0.5267 -0.4665 -0.5863 -0.5501 -0.5486 
-4 -3.757576 -3.515152 -3.434343 -3.353535 -3.030303 -2.949495 -2.868687 -2.787879 -2.545455 -2.464646 -2.383838 -2.30303 -2.060606 -1.89899 -1.737374 -1.656566 -1.414141 -1.252525 -1.010101 -0.9292929 -0.3636364 -0.1212121 -0.04040404 0.2828283 0.5252525 0.6868687 0.7676768 1.010101 1.090909 1.171717 1.333333 1.414141 1.494949 1.656566 1.737374 1.89899 2.060606 2.222222 2.30303 2.545455 2.626263 2.868687 3.030303 3.111111 3.191919 3.272727 3.353535 3.434343 3.59596 
-0.3284 -0.3534 -0.3446 -0.2655 -0.1397 0.0533 0.0078 0.0654 0.1533 0.3171 0.3661 0.5046 0.6153 0.6872 0.7796 0.8843 0.8449 0.8512 0.7225 0.6664 0.5284 0.1724 0.0062 0.0336 -0.1636 -0.2663 -0.2348 -0.3597 -0.3241 -0.3688 -0.3357 -0.3664 -0.4322 -0.4022 -0.3823 -0.4784 -0.4343 -0.3526 -0.3563 -0.3807 -0.1785 -0.3039 -0.1117 -0.0715 -0.0474 -0.0847 -0.0775 0.0335 0.0343 0.1516 
-3.838384 -3.676768 -3.434343 -3.353535 -3.272727 -3.191919 -3.030303 -2.949495 -2.545455 -2.30303 -2.141414 -2.060606 -1.979798 -1.818182 -1.737374 -1.656566 -1.494949 -1.414141 -1.333333 -1.252525 -1.010101 -0.9292929 -0.5252525 -0.4444444 -0.3636364 -0.1212121 -0.04040404 0.04040404 0.5252525 0.6060606 0.7676768 0.9292929 1.010101 1.090909 1.171717 1.252525 1.737374 2.222222 2.383838 2.464646 2.626263 2.868687 3.030303 3.191919 3.353535 3.515152 3.757576 3.838384 3.919192 4 
0.048 0.0862 0.1397 0.1261 0.2587 0.1717 0.3476 0.4372 0.6143 0.692 0.5468 0.6355 0.5826 0.3795 0.3032 0.1908 -0.0467 -0.1779 -0.2395 -0.4424 -0.8047 -0.7937 -1.0835 -0.8907 -1.0858 -0.9797 -0.8564 -0.8253 -0.4771 -0.2818 -0.2683 -0.007 -0.0354 -0.0209 0.0838 0.074 0.3538 0.4792 0.4107 0.4421 0.5401 0.5793 0.5271 0.5957 0.6087 0.641 0.6758 0.6668 0.6911 0.6169 
-3.515152 -3.191919 -2.949495 -2.787879 -2.464646 -2.30303 -2.222222 -1.818182 -1.737374 -1.656566 -1.575758 -1.333333 -1.171717 -1.090909 -1.010101 -0.8484848 -0.7676768 -0.6868687 -0.3636364 -0.2828283 -0.1212121 -0.04040404 0.2828283 0.5252525 0.6868687 0.7676768 0.9292929 1.090909 1.252525 1.414141 1.575758 1.89899 1.979798 2.060606 2.141414 2.383838 2.464646 2.545455 2.626263 2.707071 2.787879 2.868687 2.949495 3.191919 3.272727 3.434343 3.59596 3.757576 3.838384 4 
0.3555 0.4411 0.5489 0.4814 0.4663 0.5522 0.514 0.4594 0.2869 0.3331 0.2619 0.1803 0.2125 0.1058 0.0578 -0.0154 0.0259 0.047 0.0458 -0.0093 -0.1143 -0.1167 0.0382 0.1025 0.1182 0.1661 0.2205 0.2203 0.2709 0.1697 0.1335 0.0065 -0.1336 -0.2672 -0.2487 -0.5905 -0.6524 -0.5463 -0.6793 -0.7708 -0.6802 -0.6776 -0.7583 -0.78 -0.6568 -0.5546 -0.5633 -0.3732 -0.3561 -0.2125 
-4 -3.838384 -3.757576 -3.434343 -3.353535 -3.272727 -3.111111 -3.030303 -2.868687 -2.787879 -2.707071 -2.464646 -2.222222 -2.141414 -1.979798 -1.89899 -1.818182 -1.575758 -1.494949 -1.414141 -1.252525 -0.9292929 -0.8484848 -0.7676768 -0.6060606 -0.3636364 -0.2828283 -0.2020202 0.3636364 0.5252525 0.7676768 0.9292929 1.010101 1.333333 1.656566 1.89899 1.979798 2.060606 2.141414 2.383838 2.545455 2.626263 2.707071 2.949495 3.191919 3.272727 3.353535 3.59596 3.676768 3.757576 
-0.1118 -0.1799 -0.2887 -0.3088 -0.4148 -0.4316 -0.3617 -0.3866 -0.3835 -0.4206 -0.3507 -0.2903 -0.142 -0.0109 0.1487 0.214 0.156 0.3327 0.3143 0.2044 0.3015 0.3441 0.2709 0.3108 0.2719 0.1851 0.2436 0.1805 0.1848 0.1368 -0.0194 0.0067 -0.0809 -0.1295 -0.2361 -0.1458 -0.1002 -0.2091 -0.1084 -0.0134 0.0669 -0.0877 -0.1017 -0.0936 -0.1243 0.0814 -0.0709 0.0596 0.0056 0.0957 
